ticker,tf,month,days_in_month,days_with_bars,bars,expected_bars,ratio
SPY,10,2025-08,21,6,576,819,0.7
SPY,10,2025-09,21,0,0,819,0
SPY,10,2025-10,23,0,0,897,0
SPY,10,2025-11,19,0,0,741,0
SPY,10,2025-12,22,0,0,858,0
SPY,30,2025-08,21,6,192,273,0.7
SPY,30,2025-09,21,0,0,273,0
SPY,30,2025-10,23,0,0,299,0
SPY,30,2025-11,19,0,0,247,0
SPY,30,2025-12,22,0,0,286,0
SPY,60,2025-08,21,6,42,147,0.29
SPY,60,2025-09,21,0,0,147,0
SPY,60,2026-03,22,12,82,154,0.53
SPY,60,2026-04,12,0,0,84,0
SPY,240,2026-03,22,12,24,44,0.55
SPY,240,2026-04,12,0,0,24,0
SPY,D,2026-03,22,12,12,22,0.55
SPY,D,2026-04,12,0,0,12,0
QQQ,10,2025-08,21,6,565,819,0.69
QQQ,10,2025-09,21,0,0,819,0
QQQ,10,2025-10,23,0,0,897,0
QQQ,10,2025-11,19,0,0,741,0
QQQ,10,2025-12,22,0,0,858,0
QQQ,30,2025-08,21,6,192,273,0.7
QQQ,30,2025-09,21,0,0,273,0
QQQ,30,2025-10,23,0,0,299,0
QQQ,30,2025-11,19,0,0,247,0
QQQ,30,2025-12,22,0,0,286,0
QQQ,60,2025-08,21,6,42,147,0.29
QQQ,60,2025-09,21,0,0,147,0
QQQ,60,2026-03,22,12,82,154,0.53
QQQ,60,2026-04,12,0,0,84,0
QQQ,240,2026-03,22,12,24,44,0.55
QQQ,240,2026-04,12,0,0,24,0
QQQ,D,2026-03,22,12,12,22,0.55
QQQ,D,2026-04,12,0,0,12,0
IWM,10,2025-08,21,6,576,819,0.7
IWM,10,2025-09,21,0,0,819,0
IWM,10,2025-10,23,0,0,897,0
IWM,10,2025-11,19,0,0,741,0
IWM,10,2025-12,22,0,0,858,0
IWM,30,2025-08,21,6,192,273,0.7
IWM,30,2025-09,21,0,0,273,0
IWM,30,2025-10,23,0,0,299,0
IWM,30,2025-11,19,0,0,247,0
IWM,30,2025-12,22,0,0,286,0
IWM,60,2025-08,21,6,42,147,0.29
IWM,60,2025-09,21,0,0,147,0
IWM,60,2026-03,22,12,82,154,0.53
IWM,60,2026-04,12,0,0,84,0
IWM,240,2026-03,22,12,24,44,0.55
IWM,240,2026-04,12,0,0,24,0
IWM,D,2026-03,22,12,12,22,0.55
IWM,D,2026-04,12,0,0,12,0
AAPL,10,2025-08,21,6,576,819,0.7
AAPL,10,2025-09,21,0,0,819,0
AAPL,10,2025-10,23,0,0,897,0
AAPL,10,2025-11,19,0,0,741,0
AAPL,10,2025-12,22,0,0,858,0
AAPL,30,2025-08,21,6,192,273,0.7
AAPL,30,2025-09,21,0,0,273,0
AAPL,30,2025-10,23,0,0,299,0
AAPL,30,2025-11,19,0,0,247,0
AAPL,30,2025-12,22,0,0,286,0
AAPL,60,2025-08,21,6,42,147,0.29
AAPL,60,2025-09,21,0,0,147,0
AAPL,60,2026-03,22,12,82,154,0.53
AAPL,60,2026-04,12,0,0,84,0
AAPL,240,2026-03,22,12,24,44,0.55
AAPL,240,2026-04,12,0,0,24,0
AAPL,D,2026-03,22,12,12,22,0.55
AAPL,D,2026-04,12,0,0,12,0
MSFT,10,2025-08,21,6,576,819,0.7
MSFT,10,2025-09,21,0,0,819,0
MSFT,10,2025-10,23,0,0,897,0
MSFT,10,2025-11,19,0,0,741,0
MSFT,10,2025-12,22,0,0,858,0
MSFT,30,2025-08,21,6,192,273,0.7
MSFT,30,2025-09,21,0,0,273,0
MSFT,30,2025-10,23,0,0,299,0
MSFT,30,2025-11,19,0,0,247,0
MSFT,30,2025-12,22,0,0,286,0
MSFT,60,2025-08,21,6,42,147,0.29
MSFT,60,2025-09,21,0,0,147,0
MSFT,60,2026-03,22,12,82,154,0.53
MSFT,60,2026-04,12,0,0,84,0
MSFT,240,2026-03,22,12,24,44,0.55
MSFT,240,2026-04,12,0,0,24,0
MSFT,D,2026-03,22,12,12,22,0.55
MSFT,D,2026-04,12,0,0,12,0
GOOGL,10,2025-08,21,6,576,819,0.7
GOOGL,10,2025-09,21,0,0,819,0
GOOGL,10,2025-10,23,0,0,897,0
GOOGL,10,2025-11,19,0,0,741,0
GOOGL,10,2025-12,22,0,0,858,0
GOOGL,30,2025-08,21,6,192,273,0.7
GOOGL,30,2025-09,21,0,0,273,0
GOOGL,30,2025-10,23,0,0,299,0
GOOGL,30,2025-11,19,0,0,247,0
GOOGL,30,2025-12,22,0,0,286,0
GOOGL,60,2025-08,21,6,42,147,0.29
GOOGL,60,2025-09,21,0,0,147,0
GOOGL,60,2026-03,22,12,82,154,0.53
GOOGL,60,2026-04,12,0,0,84,0
GOOGL,240,2026-03,22,12,24,44,0.55
GOOGL,240,2026-04,12,0,0,24,0
GOOGL,D,2026-03,22,12,12,22,0.55
GOOGL,D,2026-04,12,0,0,12,0
AMZN,10,2025-08,21,6,576,819,0.7
AMZN,10,2025-09,21,0,0,819,0
AMZN,10,2025-10,23,0,0,897,0
AMZN,10,2025-11,19,0,0,741,0
AMZN,10,2025-12,22,0,0,858,0
AMZN,30,2025-08,21,6,192,273,0.7
AMZN,30,2025-09,21,0,0,273,0
AMZN,30,2025-10,23,0,0,299,0
AMZN,30,2025-11,19,0,0,247,0
AMZN,30,2025-12,22,0,0,286,0
AMZN,60,2025-08,21,6,42,147,0.29
AMZN,60,2025-09,21,0,0,147,0
AMZN,60,2026-03,22,12,82,154,0.53
AMZN,60,2026-04,12,0,0,84,0
AMZN,240,2026-03,22,12,24,44,0.55
AMZN,240,2026-04,12,0,0,24,0
AMZN,D,2026-03,22,12,12,22,0.55
AMZN,D,2026-04,12,0,0,12,0
META,10,2025-08,21,6,576,819,0.7
META,10,2025-09,21,0,0,819,0
META,10,2025-10,23,0,0,897,0
META,10,2025-11,19,0,0,741,0
META,10,2025-12,22,0,0,858,0
META,30,2025-08,21,6,192,273,0.7
META,30,2025-09,21,0,0,273,0
META,30,2025-10,23,0,0,299,0
META,30,2025-11,19,0,0,247,0
META,30,2025-12,22,0,0,286,0
META,60,2025-08,21,6,42,147,0.29
META,60,2025-09,21,0,0,147,0
META,60,2026-03,22,12,82,154,0.53
META,60,2026-04,12,0,0,84,0
META,240,2026-03,22,12,24,44,0.55
META,240,2026-04,12,0,0,24,0
META,D,2026-03,22,12,12,22,0.55
META,D,2026-04,12,0,0,12,0
NVDA,10,2025-08,21,6,576,819,0.7
NVDA,10,2025-09,21,0,0,819,0
NVDA,10,2025-10,23,0,0,897,0
NVDA,10,2025-11,19,0,0,741,0
NVDA,10,2025-12,22,0,0,858,0
NVDA,30,2025-08,21,6,192,273,0.7
NVDA,30,2025-09,21,0,0,273,0
NVDA,30,2025-10,23,0,0,299,0
NVDA,30,2025-11,19,0,0,247,0
NVDA,30,2025-12,22,0,0,286,0
NVDA,60,2025-08,21,6,42,147,0.29
NVDA,60,2025-09,21,0,0,147,0
NVDA,60,2026-03,22,12,82,154,0.53
NVDA,60,2026-04,12,0,0,84,0
NVDA,240,2026-03,22,12,24,44,0.55
NVDA,240,2026-04,12,0,0,24,0
NVDA,D,2026-03,22,12,12,22,0.55
NVDA,D,2026-04,12,0,0,12,0
TSLA,10,2025-08,21,6,576,819,0.7
TSLA,10,2025-09,21,0,0,819,0
TSLA,10,2025-10,23,0,0,897,0
TSLA,10,2025-11,19,0,0,741,0
TSLA,10,2025-12,22,0,0,858,0
TSLA,30,2025-08,21,6,192,273,0.7
TSLA,30,2025-09,21,0,0,273,0
TSLA,30,2025-10,23,0,0,299,0
TSLA,30,2025-11,19,0,0,247,0
TSLA,30,2025-12,22,0,0,286,0
TSLA,60,2025-08,21,6,42,147,0.29
TSLA,60,2025-09,21,0,0,147,0
TSLA,60,2026-04,12,0,0,84,0
TSLA,240,2026-04,12,0,0,24,0
TSLA,D,2026-04,12,0,0,12,0
AGQ,30,2025-11,19,0,0,247,0
AGQ,30,2025-12,22,0,0,286,0
AGQ,60,2026-03,22,12,82,154,0.53
AGQ,60,2026-04,12,0,0,84,0
AGQ,240,2026-03,22,12,24,44,0.55
AGQ,240,2026-04,12,0,0,24,0
AGQ,D,2026-03,22,2,2,22,0.09
AGQ,D,2026-04,12,0,0,12,0
CDNS,10,2025-11,19,0,0,741,0
CDNS,10,2025-12,22,0,0,858,0
CDNS,30,2025-11,19,0,0,247,0
CDNS,30,2025-12,22,0,0,286,0
CDNS,60,2026-03,22,12,82,154,0.53
CDNS,60,2026-04,12,0,0,84,0
CDNS,240,2026-03,22,12,24,44,0.55
CDNS,240,2026-04,12,0,0,24,0
CDNS,D,2026-03,22,12,12,22,0.55
CDNS,D,2026-04,12,0,0,12,0
ETN,10,2025-11,19,0,0,741,0
ETN,10,2025-12,22,0,0,858,0
ETN,30,2025-11,19,0,0,247,0
ETN,30,2025-12,22,0,0,286,0
ETN,60,2026-03,22,12,82,154,0.53
ETN,60,2026-04,12,0,0,84,0
ETN,240,2026-03,22,12,24,44,0.55
ETN,240,2026-04,12,0,0,24,0
ETN,D,2026-03,22,12,12,22,0.55
ETN,D,2026-04,12,0,0,12,0
FIX,10,2025-11,19,0,0,741,0
FIX,10,2025-12,22,0,0,858,0
FIX,30,2025-11,19,0,0,247,0
FIX,30,2025-12,22,0,0,286,0
FIX,60,2026-03,22,12,82,154,0.53
FIX,60,2026-04,12,0,0,84,0
FIX,240,2026-03,22,12,24,44,0.55
FIX,240,2026-04,12,0,0,24,0
FIX,D,2026-03,22,12,12,22,0.55
FIX,D,2026-04,12,0,0,12,0
GRNY,10,2025-11,19,0,0,741,0
GRNY,10,2025-12,22,0,0,858,0
GRNY,30,2025-11,19,0,0,247,0
GRNY,30,2025-12,22,0,0,286,0
GRNY,60,2026-03,22,12,82,154,0.53
GRNY,60,2026-04,12,0,0,84,0
GRNY,240,2026-03,22,12,24,44,0.55
GRNY,240,2026-04,12,0,0,24,0
GRNY,D,2026-03,22,2,2,22,0.09
GRNY,D,2026-04,12,0,0,12,0
HUBS,10,2025-11,19,0,0,741,0
HUBS,10,2025-12,22,0,0,858,0
HUBS,10,2026-03,22,11,465,858,0.54
HUBS,30,2025-11,19,0,0,247,0
HUBS,30,2025-12,22,0,0,286,0
HUBS,30,2026-03,22,11,177,286,0.62
HUBS,60,2026-03,22,12,82,154,0.53
HUBS,60,2026-04,12,0,0,84,0
HUBS,240,2026-03,22,12,24,44,0.55
HUBS,240,2026-04,12,0,0,24,0
HUBS,D,2026-03,22,2,2,22,0.09
HUBS,D,2026-04,12,0,0,12,0
IESC,10,2025-11,19,0,0,741,0
IESC,10,2025-12,22,0,0,858,0
IESC,30,2025-11,19,0,0,247,0
IESC,30,2025-12,22,0,0,286,0
IESC,60,2026-03,22,12,82,154,0.53
IESC,60,2026-04,12,0,0,84,0
IESC,240,2026-03,22,12,24,44,0.55
IESC,240,2026-04,12,0,0,24,0
IESC,D,2026-03,22,12,12,22,0.55
IESC,D,2026-04,12,0,0,12,0
MTZ,10,2025-11,19,0,0,741,0
MTZ,10,2025-12,22,0,0,858,0
MTZ,30,2025-11,19,0,0,247,0
MTZ,30,2025-12,22,0,0,286,0
MTZ,30,2026-03,22,11,175,286,0.61
MTZ,60,2026-03,22,12,82,154,0.53
MTZ,60,2026-04,12,0,0,84,0
MTZ,240,2026-03,22,12,24,44,0.55
MTZ,240,2026-04,12,0,0,24,0
MTZ,D,2026-03,22,2,2,22,0.09
MTZ,D,2026-04,12,0,0,12,0
ON,10,2025-11,19,0,0,741,0
ON,10,2025-12,22,0,0,858,0
ON,30,2025-11,19,0,0,247,0
ON,30,2025-12,22,0,0,286,0
ON,60,2026-04,12,0,0,84,0
ON,240,2026-04,12,0,0,24,0
ON,D,2026-04,12,0,0,12,0
PH,10,2025-11,19,0,0,741,0
PH,10,2025-12,22,0,0,858,0
PH,30,2025-11,19,0,0,247,0
PH,30,2025-12,22,0,0,286,0
PH,60,2026-04,12,0,0,84,0
PH,240,2026-04,12,0,0,24,0
PH,D,2026-04,12,0,0,12,0
RIOT,10,2025-11,19,0,0,741,0
RIOT,10,2025-12,22,0,0,858,0
RIOT,30,2025-11,19,0,0,247,0
RIOT,30,2025-12,22,0,0,286,0
RIOT,60,2026-03,22,12,82,154,0.53
RIOT,60,2026-04,12,0,0,84,0
RIOT,240,2026-03,22,12,24,44,0.55
RIOT,240,2026-04,12,0,0,24,0
RIOT,D,2026-03,22,12,12,22,0.55
RIOT,D,2026-04,12,0,0,12,0
SGI,10,2025-11,19,0,0,741,0
SGI,10,2025-12,22,0,0,858,0
SGI,30,2025-11,19,0,0,247,0
SGI,30,2025-12,22,0,0,286,0
SGI,60,2026-03,22,12,82,154,0.53
SGI,60,2026-04,12,0,0,84,0
SGI,240,2026-03,22,12,24,44,0.55
SGI,240,2026-04,12,0,0,24,0
SGI,D,2026-03,22,12,12,22,0.55
SGI,D,2026-04,12,0,0,12,0
SWK,10,2025-11,19,0,0,741,0
SWK,10,2025-12,22,0,0,858,0
SWK,30,2025-11,19,0,0,247,0
SWK,30,2025-12,22,0,0,286,0
SWK,60,2026-04,12,0,0,84,0
SWK,240,2026-04,12,0,0,24,0
SWK,D,2026-04,12,0,0,12,0
XLY,10,2025-11,19,0,0,741,0
XLY,10,2025-12,22,0,0,858,0
XLY,30,2025-11,19,0,0,247,0
XLY,30,2025-12,22,0,0,286,0
XLY,60,2026-03,22,12,82,154,0.53
XLY,60,2026-04,12,0,0,84,0
XLY,240,2026-03,22,12,24,44,0.55
XLY,240,2026-04,12,0,0,24,0
XLY,D,2026-03,22,12,12,22,0.55
XLY,D,2026-04,12,0,0,12,0
